ID,CITY,CITY_ASCII,COUNTRY
1024895987,Quilengues,Quilengues,AGO
1024902504,Tchindjendje,Tchindjendje,AGO
1024903782,Soio,Soio,AGO
1024911597,Ndjamba,Ndjamba,AGO
1024922883,Bocoio,Bocoio,AGO
1024923411,Songo,Songo,AGO
1024929138,Quipungo,Quipungo,AGO
1024937810,Barra do Dande,Barra do Dande,AGO
1024939858,Cuito,Cuito,AGO
1024949724,Luanda,Luanda,AGO
1024978551,Negage,Negage,AGO
1024988332,Talatona,Talatona,AGO
1024994288,Catabola,Catabola,AGO
1028912067,Saint John’s,Saint John's,ATG
1031015845,Hacıqabul,Haciqabul,AZE
1031031472,Culfa,Culfa,AZE
1031050255,Qıvraq,Qivraq,AZE
1031053363,Dəvəçi,Davaci,AZE
1031053512,Xankəndi,Xankandi,AZE
1031058715,Pirallahı,Pirallahi,AZE
1031059559,Qusar,Qusar,AZE
1031078072,Quba,Quba,AZE
1031114052,Bakıxanov,Bakixanov,AZE
1031116600,Aşağı Ayıblı,Asagi Ayibli,AZE
1031119834,Xındırıstan,Xindiristan,AZE
1031126416,Masallı,Masalli,AZE
1031145251,Xırdalan,Xirdalan,AZE
1031149283,Biləsuvar,Bilasuvar,AZE
1031160110,Kürdəmir,Kurdamir,AZE
1031176858,Ağdam,Agdam,AZE
1031197327,Gəncə,Ganca,AZE
1031204213,M.Ə. Rəsulzadə,M.A. Rasulzada,AZE
1031212922,Kəlbəcər,Kalbacar,AZE
1031218031,Lənkəran,Lankaran,AZE
1031218803,Xudat,Xudat,AZE
1031227222,Göyçay,Goycay,AZE
1031237556,Xocalı,Xocali,AZE
1031240282,Qazax,Qazax,AZE
1031242117,Cəlilabad,Calilabad,AZE
1031242200,Qazmalar,Qazmalar,AZE
1031245091,Laçın,Lacin,AZE
1031256738,Hacı Zeynalabdin,Haci Zeynalabdin,AZE
1031277547,Siyəzən,Siyazan,AZE
1031286384,Şamaxı,Samaxi,AZE
1031299249,Neftçala,Neftcala,AZE
1031301869,Salyan,Salyan,AZE
1031302623,Sabirabad,Sabirabad,AZE
1031323095,Şahbuz,Sahbuz,AZE
1031329823,Lökbatan,Lokbatan,AZE
1031335433,Xaçmaz,Xacmaz,AZE
1031341144,Qovlar,Qovlar,AZE
1031370082,Balakən,Balakan,AZE
1031370337,Oğuz,Oguz,AZE
1031376971,Astara,Astara,AZE
1031379235,Cəbrayıl,Cabrayil,AZE
1031380246,İsmayıllı,Ismayilli,AZE
1031383465,Goranboy,Goranboy,AZE
1031385198,Qobustan,Qobustan,AZE
1031386825,Şərur,Sarur,AZE
1031405942,Tovuz,Tovuz,AZE
1031409125,Xızı,Xizi,AZE
1031441683,Naftalan,Naftalan,AZE
1031444480,Gədəbəy,Gadabay,AZE
1031454735,Xocavənd,Xocavand,AZE
